group,query_id,fold
msmarco-passage-trec-dl-2020,1131069,4
msmarco-passage-trec-dl-2020,1132532,3
msmarco-passage-trec-dl-2020,1133579,1
msmarco-passage-trec-dl-2020,1136043,2
msmarco-passage-trec-dl-2020,1136047,0
msmarco-passage-trec-dl-2020,1136962,2
msmarco-passage-trec-dl-2020,118440,1
msmarco-passage-trec-dl-2020,121171,2
msmarco-passage-trec-dl-2020,135802,0
msmarco-passage-trec-dl-2020,141630,3
msmarco-passage-trec-dl-2020,156498,4
msmarco-passage-trec-dl-2020,169208,3
msmarco-passage-trec-dl-2020,174463,3
msmarco-passage-trec-dl-2020,23849,3
msmarco-passage-trec-dl-2020,258062,2
msmarco-passage-trec-dl-2020,324585,3
msmarco-passage-trec-dl-2020,330975,1
msmarco-passage-trec-dl-2020,332593,3
msmarco-passage-trec-dl-2020,336901,4
msmarco-passage-trec-dl-2020,390360,1
msmarco-passage-trec-dl-2020,405163,2
msmarco-passage-trec-dl-2020,42255,0
msmarco-passage-trec-dl-2020,47210,2
msmarco-passage-trec-dl-2020,555530,2
msmarco-passage-trec-dl-2020,583468,0
msmarco-passage-trec-dl-2020,640502,4
msmarco-passage-trec-dl-2020,67316,3
msmarco-passage-trec-dl-2020,673670,4
msmarco-passage-trec-dl-2020,701453,2
msmarco-passage-trec-dl-2020,730539,4
msmarco-passage-trec-dl-2020,768208,2
msmarco-passage-trec-dl-2020,877809,4
msmarco-passage-trec-dl-2020,911232,1
msmarco-passage-trec-dl-2020,914916,0
msmarco-passage-trec-dl-2020,938400,1
msmarco-passage-trec-dl-2020,940547,4
msmarco-passage-trec-dl-2020,997622,0
nfcorpus,PLAIN-1008,1
nfcorpus,PLAIN-1018,1
nfcorpus,PLAIN-102,1
nfcorpus,PLAIN-1028,3
nfcorpus,PLAIN-1039,0
nfcorpus,PLAIN-1050,1
nfcorpus,PLAIN-1066,3
nfcorpus,PLAIN-1088,0
nfcorpus,PLAIN-1098,1
nfcorpus,PLAIN-1109,0
nfcorpus,PLAIN-1119,4
nfcorpus,PLAIN-112,1
nfcorpus,PLAIN-1130,3
nfcorpus,PLAIN-1141,2
nfcorpus,PLAIN-1151,3
nfcorpus,PLAIN-1161,2
nfcorpus,PLAIN-1172,3
nfcorpus,PLAIN-1183,0
nfcorpus,PLAIN-1193,2
nfcorpus,PLAIN-12,3
nfcorpus,PLAIN-1203,0
nfcorpus,PLAIN-1214,4
nfcorpus,PLAIN-1225,2
nfcorpus,PLAIN-123,4
nfcorpus,PLAIN-1236,2
nfcorpus,PLAIN-1249,4
nfcorpus,PLAIN-1262,1
nfcorpus,PLAIN-1275,1
nfcorpus,PLAIN-1288,0
nfcorpus,PLAIN-1299,4
nfcorpus,PLAIN-1309,4
nfcorpus,PLAIN-1320,2
nfcorpus,PLAIN-133,0
nfcorpus,PLAIN-1331,0
nfcorpus,PLAIN-1342,1
nfcorpus,PLAIN-1353,2
nfcorpus,PLAIN-1363,2
nfcorpus,PLAIN-1374,3
nfcorpus,PLAIN-1387,2
nfcorpus,PLAIN-1398,3
nfcorpus,PLAIN-1409,4
nfcorpus,PLAIN-1419,2
nfcorpus,PLAIN-1429,4
nfcorpus,PLAIN-143,4
nfcorpus,PLAIN-1441,1
nfcorpus,PLAIN-1453,3
nfcorpus,PLAIN-1463,2
nfcorpus,PLAIN-1473,2
nfcorpus,PLAIN-1485,3
nfcorpus,PLAIN-1496,3
nfcorpus,PLAIN-1506,3
nfcorpus,PLAIN-1516,0
nfcorpus,PLAIN-1527,2
nfcorpus,PLAIN-153,1
nfcorpus,PLAIN-1537,2
nfcorpus,PLAIN-1547,3
nfcorpus,PLAIN-1557,1
nfcorpus,PLAIN-1568,0
nfcorpus,PLAIN-1579,1
nfcorpus,PLAIN-1590,4
nfcorpus,PLAIN-1601,4
nfcorpus,PLAIN-1611,0
nfcorpus,PLAIN-1621,4
nfcorpus,PLAIN-1635,0
nfcorpus,PLAIN-1645,0
nfcorpus,PLAIN-165,3
nfcorpus,PLAIN-1656,0
nfcorpus,PLAIN-1667,0
nfcorpus,PLAIN-1679,0
nfcorpus,PLAIN-1690,1
nfcorpus,PLAIN-1700,1
nfcorpus,PLAIN-1710,1
nfcorpus,PLAIN-1721,1
nfcorpus,PLAIN-1731,2
nfcorpus,PLAIN-1741,4
nfcorpus,PLAIN-175,3
nfcorpus,PLAIN-1752,3
nfcorpus,PLAIN-1762,4
nfcorpus,PLAIN-1772,2
nfcorpus,PLAIN-1784,1
nfcorpus,PLAIN-1794,1
nfcorpus,PLAIN-1805,3
nfcorpus,PLAIN-1817,4
nfcorpus,PLAIN-1827,2
nfcorpus,PLAIN-1837,2
nfcorpus,PLAIN-1847,0
nfcorpus,PLAIN-1857,4
nfcorpus,PLAIN-186,0
nfcorpus,PLAIN-1867,1
nfcorpus,PLAIN-1877,2
nfcorpus,PLAIN-1887,3
nfcorpus,PLAIN-1897,3
nfcorpus,PLAIN-1909,3
nfcorpus,PLAIN-1919,2
nfcorpus,PLAIN-1929,4
nfcorpus,PLAIN-1940,2
nfcorpus,PLAIN-1950,2
nfcorpus,PLAIN-196,2
nfcorpus,PLAIN-1962,2
nfcorpus,PLAIN-1972,2
nfcorpus,PLAIN-1983,0
nfcorpus,PLAIN-1995,0
nfcorpus,PLAIN-2,2
nfcorpus,PLAIN-2009,2
nfcorpus,PLAIN-2019,2
nfcorpus,PLAIN-2030,0
nfcorpus,PLAIN-2040,4
nfcorpus,PLAIN-2051,2
nfcorpus,PLAIN-2061,1
nfcorpus,PLAIN-207,0
nfcorpus,PLAIN-2071,0
nfcorpus,PLAIN-2081,2
nfcorpus,PLAIN-2092,3
nfcorpus,PLAIN-2102,1
nfcorpus,PLAIN-2113,3
nfcorpus,PLAIN-2124,3
nfcorpus,PLAIN-2134,0
nfcorpus,PLAIN-2145,2
nfcorpus,PLAIN-2156,0
nfcorpus,PLAIN-2167,2
nfcorpus,PLAIN-217,3
nfcorpus,PLAIN-2177,3
nfcorpus,PLAIN-2187,0
nfcorpus,PLAIN-2197,1
nfcorpus,PLAIN-2209,4
nfcorpus,PLAIN-2220,0
nfcorpus,PLAIN-2230,1
nfcorpus,PLAIN-2240,3
nfcorpus,PLAIN-2250,1
nfcorpus,PLAIN-2261,2
nfcorpus,PLAIN-227,4
nfcorpus,PLAIN-2271,2
nfcorpus,PLAIN-2281,4
nfcorpus,PLAIN-2291,2
nfcorpus,PLAIN-23,1
nfcorpus,PLAIN-2301,0
nfcorpus,PLAIN-2311,0
nfcorpus,PLAIN-2321,3
nfcorpus,PLAIN-2332,2
nfcorpus,PLAIN-2343,1
nfcorpus,PLAIN-2354,4
nfcorpus,PLAIN-2364,4
nfcorpus,PLAIN-2375,1
nfcorpus,PLAIN-238,1
nfcorpus,PLAIN-2386,4
nfcorpus,PLAIN-2396,0
nfcorpus,PLAIN-2408,0
nfcorpus,PLAIN-2430,2
nfcorpus,PLAIN-2440,2
nfcorpus,PLAIN-2450,2
nfcorpus,PLAIN-2460,0
nfcorpus,PLAIN-2470,3
nfcorpus,PLAIN-248,0
nfcorpus,PLAIN-2480,1
nfcorpus,PLAIN-2490,0
nfcorpus,PLAIN-2500,0
nfcorpus,PLAIN-2510,3
nfcorpus,PLAIN-2520,3
nfcorpus,PLAIN-2530,4
nfcorpus,PLAIN-2540,3
nfcorpus,PLAIN-2550,4
nfcorpus,PLAIN-2560,3
nfcorpus,PLAIN-2570,0
nfcorpus,PLAIN-2580,3
nfcorpus,PLAIN-259,1
nfcorpus,PLAIN-2590,3
nfcorpus,PLAIN-2600,4
nfcorpus,PLAIN-2610,3
nfcorpus,PLAIN-2620,4
nfcorpus,PLAIN-2630,2
nfcorpus,PLAIN-2640,3
nfcorpus,PLAIN-2650,4
nfcorpus,PLAIN-2660,4
nfcorpus,PLAIN-2670,3
nfcorpus,PLAIN-2680,4
nfcorpus,PLAIN-2690,4
nfcorpus,PLAIN-270,3
nfcorpus,PLAIN-2700,4
nfcorpus,PLAIN-2710,0
nfcorpus,PLAIN-2720,1
nfcorpus,PLAIN-2730,0
nfcorpus,PLAIN-2740,3
nfcorpus,PLAIN-2750,3
nfcorpus,PLAIN-2760,4
nfcorpus,PLAIN-2770,1
nfcorpus,PLAIN-2780,2
nfcorpus,PLAIN-2790,1
nfcorpus,PLAIN-280,0
nfcorpus,PLAIN-2800,3
nfcorpus,PLAIN-2810,3
nfcorpus,PLAIN-2820,0
nfcorpus,PLAIN-2830,1
nfcorpus,PLAIN-2840,4
nfcorpus,PLAIN-2850,3
nfcorpus,PLAIN-2860,3
nfcorpus,PLAIN-2870,2
nfcorpus,PLAIN-2880,1
nfcorpus,PLAIN-2890,1
nfcorpus,PLAIN-2900,1
nfcorpus,PLAIN-291,2
nfcorpus,PLAIN-2910,1
nfcorpus,PLAIN-2920,1
nfcorpus,PLAIN-2930,4
nfcorpus,PLAIN-2940,2
nfcorpus,PLAIN-2950,2
nfcorpus,PLAIN-2960,1
nfcorpus,PLAIN-2970,3
nfcorpus,PLAIN-2981,0
nfcorpus,PLAIN-2991,4
nfcorpus,PLAIN-3001,0
nfcorpus,PLAIN-3014,4
nfcorpus,PLAIN-3026,1
nfcorpus,PLAIN-3037,0
nfcorpus,PLAIN-3053,1
nfcorpus,PLAIN-3063,4
nfcorpus,PLAIN-307,2
nfcorpus,PLAIN-3074,4
nfcorpus,PLAIN-3085,4
nfcorpus,PLAIN-3097,4
nfcorpus,PLAIN-3116,3
nfcorpus,PLAIN-3131,0
nfcorpus,PLAIN-3141,1
nfcorpus,PLAIN-3151,4
nfcorpus,PLAIN-3161,1
nfcorpus,PLAIN-3171,1
nfcorpus,PLAIN-3181,0
nfcorpus,PLAIN-3191,0
nfcorpus,PLAIN-320,3
nfcorpus,PLAIN-3201,4
nfcorpus,PLAIN-3211,1
nfcorpus,PLAIN-3221,2
nfcorpus,PLAIN-3231,3
nfcorpus,PLAIN-3241,3
nfcorpus,PLAIN-3251,1
nfcorpus,PLAIN-3261,2
nfcorpus,PLAIN-3271,2
nfcorpus,PLAIN-3281,4
nfcorpus,PLAIN-3292,1
nfcorpus,PLAIN-33,4
nfcorpus,PLAIN-3302,3
nfcorpus,PLAIN-3312,2
nfcorpus,PLAIN-332,4
nfcorpus,PLAIN-3322,0
nfcorpus,PLAIN-3332,0
nfcorpus,PLAIN-3342,1
nfcorpus,PLAIN-3352,4
nfcorpus,PLAIN-3362,1
nfcorpus,PLAIN-3372,0
nfcorpus,PLAIN-3382,3
nfcorpus,PLAIN-3392,3
nfcorpus,PLAIN-3402,3
nfcorpus,PLAIN-3412,4
nfcorpus,PLAIN-3422,0
nfcorpus,PLAIN-3432,1
nfcorpus,PLAIN-344,1
nfcorpus,PLAIN-3442,0
nfcorpus,PLAIN-3452,0
nfcorpus,PLAIN-3462,3
nfcorpus,PLAIN-3472,4
nfcorpus,PLAIN-358,2
nfcorpus,PLAIN-371,3
nfcorpus,PLAIN-383,4
nfcorpus,PLAIN-395,4
nfcorpus,PLAIN-407,3
nfcorpus,PLAIN-418,1
nfcorpus,PLAIN-430,0
nfcorpus,PLAIN-44,1
nfcorpus,PLAIN-441,1
nfcorpus,PLAIN-457,1
nfcorpus,PLAIN-468,4
nfcorpus,PLAIN-478,1
nfcorpus,PLAIN-488,3
nfcorpus,PLAIN-499,2
nfcorpus,PLAIN-510,0
nfcorpus,PLAIN-520,4
nfcorpus,PLAIN-531,3
nfcorpus,PLAIN-541,2
nfcorpus,PLAIN-551,1
nfcorpus,PLAIN-56,4
nfcorpus,PLAIN-561,4
nfcorpus,PLAIN-571,0
nfcorpus,PLAIN-583,2
nfcorpus,PLAIN-593,0
nfcorpus,PLAIN-603,2
nfcorpus,PLAIN-613,0
nfcorpus,PLAIN-623,0
nfcorpus,PLAIN-634,3
nfcorpus,PLAIN-645,2
nfcorpus,PLAIN-660,0
nfcorpus,PLAIN-671,1
nfcorpus,PLAIN-68,3
nfcorpus,PLAIN-681,2
nfcorpus,PLAIN-691,4
nfcorpus,PLAIN-701,4
nfcorpus,PLAIN-711,0
nfcorpus,PLAIN-721,2
nfcorpus,PLAIN-731,2
nfcorpus,PLAIN-741,4
nfcorpus,PLAIN-751,0
nfcorpus,PLAIN-761,2
nfcorpus,PLAIN-771,0
nfcorpus,PLAIN-78,4
nfcorpus,PLAIN-782,1
nfcorpus,PLAIN-792,0
nfcorpus,PLAIN-806,4
nfcorpus,PLAIN-817,3
nfcorpus,PLAIN-827,4
nfcorpus,PLAIN-838,3
nfcorpus,PLAIN-850,2
nfcorpus,PLAIN-872,2
nfcorpus,PLAIN-882,0
nfcorpus,PLAIN-892,1
nfcorpus,PLAIN-902,3
nfcorpus,PLAIN-91,1
nfcorpus,PLAIN-913,4
nfcorpus,PLAIN-924,1
nfcorpus,PLAIN-934,2
nfcorpus,PLAIN-946,4
nfcorpus,PLAIN-956,3
nfcorpus,PLAIN-966,1
nfcorpus,PLAIN-977,2
nfcorpus,PLAIN-987,2
nfcorpus,PLAIN-997,0
scifact,1,2
scifact,100,2
scifact,1012,0
scifact,1014,1
scifact,1019,1
scifact,1020,3
scifact,1021,4
scifact,1024,2
scifact,1029,4
scifact,1041,0
scifact,1049,4
scifact,1062,1
scifact,1086,3
scifact,1088,1
scifact,1089,4
scifact,1099,2
scifact,1100,1
scifact,1104,0
scifact,1107,1
scifact,1110,1
scifact,1121,0
scifact,113,1
scifact,1130,3
scifact,1132,0
scifact,1137,2
scifact,1140,3
scifact,1144,2
scifact,1146,0
scifact,115,3
scifact,1150,1
scifact,1163,4
scifact,1175,1
scifact,1179,0
scifact,118,1
scifact,1180,0
scifact,1185,0
scifact,1187,4
scifact,1191,1
scifact,1194,1
scifact,1196,1
scifact,1197,3
scifact,1199,4
scifact,1200,1
scifact,1202,4
scifact,1204,1
scifact,1207,2
scifact,1213,2
scifact,1216,4
scifact,1221,3
scifact,1225,3
scifact,1226,2
scifact,1232,3
scifact,124,4
scifact,1241,1
scifact,1245,2
scifact,1259,0
scifact,1262,0
scifact,1266,0
scifact,127,3
scifact,1270,4
scifact,1271,2
scifact,1272,1
scifact,1273,0
scifact,1274,2
scifact,1278,4
scifact,1279,3
scifact,128,1
scifact,1280,4
scifact,1281,0
scifact,1282,4
scifact,129,1
scifact,1290,3
scifact,1292,4
scifact,1298,3
scifact,13,4
scifact,130,3
scifact,1303,1
scifact,1316,3
scifact,1319,4
scifact,132,2
scifact,1320,4
scifact,133,3
scifact,1332,2
scifact,1335,0
scifact,1336,1
scifact,1337,1
scifact,1339,1
scifact,1344,3
scifact,1352,2
scifact,1359,2
scifact,1362,1
scifact,1363,0
scifact,1368,3
scifact,137,4
scifact,1370,3
scifact,1379,4
scifact,1382,1
scifact,1385,3
scifact,1389,0
scifact,1395,1
scifact,141,3
scifact,142,4
scifact,143,3
scifact,146,4
scifact,148,2
scifact,163,3
scifact,171,0
scifact,179,0
scifact,180,2
scifact,183,2
scifact,185,4
scifact,198,0
scifact,208,1
scifact,212,1
scifact,213,2
scifact,216,1
scifact,217,2
scifact,218,0
scifact,219,1
scifact,230,3
scifact,232,3
scifact,233,4
scifact,236,0
scifact,237,1
scifact,238,3
scifact,239,2
scifact,248,0
scifact,249,0
scifact,261,0
scifact,268,2
scifact,269,4
scifact,274,1
scifact,275,2
scifact,279,2
scifact,294,3
scifact,295,3
scifact,298,0
scifact,3,3
scifact,300,3
scifact,303,2
scifact,312,0
scifact,314,3
scifact,324,4
scifact,327,0
scifact,338,0
scifact,343,4
scifact,350,0
scifact,354,3
scifact,36,1
scifact,362,4
scifact,380,4
scifact,384,2
scifact,385,2
scifact,386,1
scifact,388,4
scifact,399,0
scifact,410,2
scifact,411,2
scifact,415,3
scifact,42,4
scifact,421,4
scifact,431,2
scifact,436,1
scifact,437,1
scifact,439,1
scifact,440,2
scifact,443,3
scifact,452,3
scifact,475,1
scifact,478,3
scifact,48,2
scifact,49,3
scifact,491,3
scifact,5,2
scifact,50,2
scifact,501,0
scifact,502,3
scifact,507,1
scifact,508,0
scifact,51,1
scifact,513,0
scifact,514,3
scifact,516,0
scifact,517,1
scifact,521,1
scifact,525,3
scifact,527,1
scifact,528,2
scifact,53,4
scifact,532,0
scifact,533,0
scifact,535,3
scifact,536,4
scifact,539,2
scifact,54,1
scifact,540,2
scifact,544,4
scifact,549,4
scifact,551,0
scifact,552,0
scifact,554,2
scifact,56,3
scifact,560,2
scifact,569,2
scifact,57,2
scifact,575,4
scifact,577,2
scifact,578,0
scifact,587,1
scifact,589,4
scifact,593,4
scifact,597,0
scifact,598,3
scifact,613,4
scifact,619,0
scifact,623,2
scifact,628,2
scifact,636,2
scifact,637,1
scifact,641,4
scifact,644,3
scifact,649,2
scifact,659,4
scifact,660,4
scifact,674,0
scifact,684,3
scifact,690,1
scifact,691,3
scifact,692,4
scifact,693,2
scifact,70,3
scifact,700,0
scifact,702,2
scifact,715,4
scifact,716,4
scifact,718,0
scifact,72,0
scifact,721,0
scifact,723,4
scifact,727,1
scifact,728,3
scifact,729,1
scifact,742,4
scifact,743,1
scifact,744,3
scifact,75,2
scifact,756,4
scifact,759,1
scifact,768,0
scifact,770,3
scifact,775,0
scifact,781,1
scifact,783,4
scifact,784,0
scifact,785,3
scifact,793,3
scifact,800,3
scifact,805,3
scifact,808,0
scifact,811,2
scifact,814,4
scifact,820,2
scifact,821,0
scifact,823,1
scifact,830,4
scifact,831,2
scifact,832,4
scifact,834,1
scifact,837,3
scifact,839,4
scifact,845,2
scifact,847,0
scifact,852,1
scifact,859,4
scifact,870,2
scifact,873,1
scifact,879,2
scifact,880,0
scifact,882,4
scifact,887,2
scifact,903,2
scifact,904,3
scifact,907,4
scifact,911,3
scifact,913,4
scifact,914,1
scifact,921,0
scifact,922,4
scifact,936,1
scifact,94,1
scifact,956,2
scifact,957,0
scifact,960,0
scifact,967,0
scifact,971,3
scifact,975,4
scifact,982,0
scifact,985,3
scifact,99,0
scifact,993,2
trec-covid,1,0
trec-covid,10,2
trec-covid,11,0
trec-covid,12,1
trec-covid,13,0
trec-covid,14,1
trec-covid,15,0
trec-covid,16,3
trec-covid,17,2
trec-covid,18,3
trec-covid,19,4
trec-covid,2,4
trec-covid,20,2
trec-covid,21,2
trec-covid,22,0
trec-covid,23,2
trec-covid,24,4
trec-covid,25,4
trec-covid,26,3
trec-covid,27,4
trec-covid,28,2
trec-covid,29,0
trec-covid,3,3
trec-covid,30,2
trec-covid,31,1
trec-covid,32,3
trec-covid,33,4
trec-covid,34,1
trec-covid,35,2
trec-covid,36,3
trec-covid,37,3
trec-covid,38,4
trec-covid,39,1
trec-covid,4,0
trec-covid,40,1
trec-covid,41,1
trec-covid,42,3
trec-covid,43,1
trec-covid,44,0
trec-covid,45,0
trec-covid,46,2
trec-covid,47,4
trec-covid,48,3
trec-covid,49,2
trec-covid,5,4
trec-covid,50,4
trec-covid,6,1
trec-covid,7,3
trec-covid,8,0
trec-covid,9,1
trec-covid-chrono-r1,1,0
trec-covid-chrono-r1,10,4
trec-covid-chrono-r1,11,0
trec-covid-chrono-r1,12,1
trec-covid-chrono-r1,13,2
trec-covid-chrono-r1,14,3
trec-covid-chrono-r1,15,4
trec-covid-chrono-r1,16,0
trec-covid-chrono-r1,17,1
trec-covid-chrono-r1,18,2
trec-covid-chrono-r1,19,3
trec-covid-chrono-r1,2,1
trec-covid-chrono-r1,20,4
trec-covid-chrono-r1,21,0
trec-covid-chrono-r1,22,1
trec-covid-chrono-r1,23,2
trec-covid-chrono-r1,24,3
trec-covid-chrono-r1,25,4
trec-covid-chrono-r1,26,0
trec-covid-chrono-r1,27,1
trec-covid-chrono-r1,28,2
trec-covid-chrono-r1,29,3
trec-covid-chrono-r1,3,2
trec-covid-chrono-r1,30,4
trec-covid-chrono-r1,4,3
trec-covid-chrono-r1,5,4
trec-covid-chrono-r1,6,0
trec-covid-chrono-r1,7,1
trec-covid-chrono-r1,8,2
trec-covid-chrono-r1,9,3
