dataset,snapshot,query_id,policy,batch,accesses,dense,sparse,before,k
msmarco-passage-trec-dl-2019,0,490595,dibud,1,841,473,368,69,70
msmarco-passage-trec-dl-2019,0,490595,dibud,1,843,475,368,70,71
msmarco-passage-trec-dl-2019,0,490595,dibud,1,903,535,368,71,72
msmarco-passage-trec-dl-2019,0,490595,dibud,1,951,583,368,72,73
msmarco-passage-trec-dl-2019,0,490595,dibud,1,973,605,368,73,74
msmarco-passage-trec-dl-2019,0,490595,dibud,1,1002,634,368,74,76
msmarco-passage-trec-dl-2019,0,490595,dibud,1,1003,635,368,76,100
msmarco-passage-trec-dl-2019,0,490595,balanced,1,10,5,5,0,2
msmarco-passage-trec-dl-2019,0,490595,balanced,1,15,8,7,2,3
msmarco-passage-trec-dl-2019,0,490595,balanced,1,27,14,13,3,4
msmarco-passage-trec-dl-2019,0,490595,balanced,1,47,24,23,4,5
msmarco-passage-trec-dl-2019,0,490595,balanced,1,53,27,26,5,6
msmarco-passage-trec-dl-2019,0,490595,balanced,1,74,37,37,6,7
msmarco-passage-trec-dl-2019,0,490595,balanced,1,80,40,40,7,8
msmarco-passage-trec-dl-2019,0,490595,balanced,1,92,46,46,8,9
msmarco-passage-trec-dl-2019,0,490595,balanced,1,95,48,47,9,10
msmarco-passage-trec-dl-2019,0,490595,balanced,1,100,50,50,10,12
msmarco-passage-trec-dl-2019,0,490595,balanced,1,102,51,51,12,13
msmarco-passage-trec-dl-2019,0,490595,balanced,1,104,52,52,13,14
msmarco-passage-trec-dl-2019,0,490595,balanced,1,114,57,57,14,15
msmarco-passage-trec-dl-2019,0,490595,balanced,1,126,63,63,15,16
msmarco-passage-trec-dl-2019,0,490595,balanced,1,128,64,64,16,17
msmarco-passage-trec-dl-2019,0,490595,balanced,1,136,68,68,17,20
msmarco-passage-trec-dl-2019,0,490595,balanced,1,152,76,76,20,22
msmarco-passage-trec-dl-2019,0,490595,balanced,1,168,84,84,22,23
msmarco-passage-trec-dl-2019,0,490595,balanced,1,182,91,91,23,24
msmarco-passage-trec-dl-2019,0,490595,balanced,1,196,98,98,24,25
msmarco-passage-trec-dl-2019,0,490595,balanced,1,208,104,104,25,26
msmarco-passage-trec-dl-2019,0,490595,balanced,1,216,108,108,26,27
msmarco-passage-trec-dl-2019,0,490595,balanced,1,226,113,113,27,28
msmarco-passage-trec-dl-2019,0,490595,balanced,1,244,122,122,28,29
msmarco-passage-trec-dl-2019,0,490595,balanced,1,246,123,123,29,30
msmarco-passage-trec-dl-2019,0,490595,balanced,1,260,130,130,30,31
msmarco-passage-trec-dl-2019,0,490595,balanced,1,270,135,135,31,32
msmarco-passage-trec-dl-2019,0,490595,balanced,1,274,137,137,32,33
msmarco-passage-trec-dl-2019,0,490595,balanced,1,284,142,142,33,40
msmarco-passage-trec-dl-2019,0,490595,balanced,1,297,149,148,40,41
msmarco-passage-trec-dl-2019,0,490595,balanced,1,327,164,163,41,42
msmarco-passage-trec-dl-2019,0,490595,balanced,1,335,168,167,42,44
msmarco-passage-trec-dl-2019,0,490595,balanced,1,344,172,172,44,45
msmarco-passage-trec-dl-2019,0,490595,balanced,1,350,175,175,45,47
msmarco-passage-trec-dl-2019,0,490595,balanced,1,378,189,189,47,48
msmarco-passage-trec-dl-2019,0,490595,balanced,1,384,192,192,48,49
msmarco-passage-trec-dl-2019,0,490595,balanced,1,388,194,194,49,50
msmarco-passage-trec-dl-2019,0,490595,balanced,1,392,196,196,50,51
msmarco-passage-trec-dl-2019,0,490595,balanced,1,460,230,230,51,52
msmarco-passage-trec-dl-2019,0,490595,balanced,1,476,238,238,52,53
msmarco-passage-trec-dl-2019,0,490595,balanced,1,486,243,243,53,54
msmarco-passage-trec-dl-2019,0,490595,balanced,1,524,262,262,54,55
msmarco-passage-trec-dl-2019,0,490595,balanced,1,564,282,282,55,56
msmarco-passage-trec-dl-2019,0,490595,balanced,1,580,290,290,56,57
msmarco-passage-trec-dl-2019,0,490595,balanced,1,590,295,295,57,58
msmarco-passage-trec-dl-2019,0,490595,balanced,1,644,322,322,58,59
msmarco-passage-trec-dl-2019,0,490595,balanced,1,736,368,368,59,66
msmarco-passage-trec-dl-2019,0,490595,balanced,1,755,378,377,66,67
msmarco-passage-trec-dl-2019,0,490595,balanced,1,777,389,388,67,68
msmarco-passage-trec-dl-2019,0,490595,balanced,1,929,465,464,68,69
msmarco-passage-trec-dl-2019,0,490595,balanced,1,945,473,472,69,70
msmarco-passage-trec-dl-2019,0,490595,balanced,1,949,475,474,70,71
msmarco-passage-trec-dl-2019,0,490595,balanced,1,1069,535,534,71,72
msmarco-passage-trec-dl-2019,0,490595,balanced,1,1165,583,582,72,73
msmarco-passage-trec-dl-2019,0,490595,balanced,1,1209,605,604,73,74
msmarco-passage-trec-dl-2019,0,490595,balanced,1,1267,634,633,74,76
msmarco-passage-trec-dl-2019,0,490595,balanced,1,1269,635,634,76,100
msmarco-passage-trec-dl-2019,0,490595,dibud,64,128,64,64,0,17
msmarco-passage-trec-dl-2019,0,490595,dibud,64,192,64,128,17,24
msmarco-passage-trec-dl-2019,0,490595,dibud,64,256,128,128,24,30
msmarco-passage-trec-dl-2019,0,490595,dibud,64,320,128,192,30,40
msmarco-passage-trec-dl-2019,0,490595,dibud,64,384,192,192,40,49
msmarco-passage-trec-dl-2019,0,490595,dibud,64,448,192,256,49,52
msmarco-passage-trec-dl-2019,0,490595,dibud,64,512,256,256,52,54
msmarco-passage-trec-dl-2019,0,490595,dibud,64,576,256,320,54,58
msmarco-passage-trec-dl-2019,0,490595,dibud,64,640,256,384,58,62
msmarco-passage-trec-dl-2019,0,490595,dibud,64,704,320,384,62,65
msmarco-passage-trec-dl-2019,0,490595,dibud,64,768,384,384,65,67
msmarco-passage-trec-dl-2019,0,490595,dibud,64,832,448,384,67,68
msmarco-passage-trec-dl-2019,0,490595,dibud,64,896,512,384,68,71
msmarco-passage-trec-dl-2019,0,490595,dibud,64,960,576,384,71,72
msmarco-passage-trec-dl-2019,0,490595,dibud,64,1024,640,384,72,100
msmarco-passage-trec-dl-2019,0,490595,balanced,64,128,64,64,0,17
msmarco-passage-trec-dl-2019,0,490595,balanced,64,256,128,128,17,30
msmarco-passage-trec-dl-2019,0,490595,balanced,64,384,192,192,30,49
msmarco-passage-trec-dl-2019,0,490595,balanced,64,512,256,256,49,54
msmarco-passage-trec-dl-2019,0,490595,balanced,64,640,320,320,54,58
msmarco-passage-trec-dl-2019,0,490595,balanced,64,768,384,384,58,67
msmarco-passage-trec-dl-2019,0,490595,balanced,64,832,448,384,67,68
msmarco-passage-trec-dl-2019,0,490595,balanced,64,960,512,448,68,71
msmarco-passage-trec-dl-2019,0,490595,balanced,64,1088,576,512,71,72
msmarco-passage-trec-dl-2019,0,490595,balanced,64,1216,640,576,72,100
msmarco-passage-trec-dl-2019,0,855410,dibud,1,6,3,3,0,1
msmarco-passage-trec-dl-2019,0,855410,dibud,1,7,4,3,1,2
msmarco-passage-trec-dl-2019,0,855410,dibud,1,9,4,5,2,4
msmarco-passage-trec-dl-2019,0,855410,dibud,1,17,8,9,4,5
msmarco-passage-trec-dl-2019,0,855410,dibud,1,8202,4101,4101,5,6
msmarco-passage-trec-dl-2019,0,855410,balanced,1,6,3,3,0,1
msmarco-passage-trec-dl-2019,0,855410,balanced,1,7,4,3,1,2
msmarco-passage-trec-dl-2019,0,855410,balanced,1,10,5,5,2,4
msmarco-passage-trec-dl-2019,0,855410,balanced,1,15,8,7,4,5
msmarco-passage-trec-dl-2019,0,855410,balanced,1,8202,4101,4101,5,6
msmarco-passage-trec-dl-2019,0,855410,dibud,64,128,64,64,0,5
msmarco-passage-trec-dl-2019,0,855410,dibud,64,8320,4160,4160,5,6
msmarco-passage-trec-dl-2019,0,855410,balanced,64,128,64,64,0,5
msmarco-passage-trec-dl-2019,0,855410,balanced,64,8320,4160,4160,5,6
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,2,1,1,0,1
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,37,18,19,1,2
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,50,26,24,2,3
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,168,87,81,3,4
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,173,89,84,4,5
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,195,101,94,5,6
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,276,143,133,6,7
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,284,147,137,7,8
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,287,150,137,8,9
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,290,153,137,9,10
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,350,189,161,10,11
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,353,191,162,11,12
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,380,198,182,12,13
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,405,198,207,13,14
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,414,198,216,14,15
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,427,198,229,15,16
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,441,201,240,16,17
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,445,205,240,17,18
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,446,206,240,18,19
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,454,214,240,19,20
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,458,218,240,20,21
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,486,232,254,21,22
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,559,266,293,22,23
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,698,329,369,23,24
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,823,385,438,24,25
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,861,402,459,25,26
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,876,408,468,26,27
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,926,458,468,27,28
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,998,530,468,28,29
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,1165,697,468,29,32
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,1166,698,468,32,34
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,1215,698,517,34,35
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,1299,750,549,35,36
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,1321,764,557,36,37
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,1417,826,591,37,38
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,1770,1061,709,38,39
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,1884,1139,745,39,40
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,2028,1239,789,40,41
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,2058,1260,798,41,42
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,2317,1260,1057,42,45
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,2412,1260,1152,45,47
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,2465,1260,1205,47,57
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,2691,1486,1205,57,58
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,3059,1854,1205,58,59
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,3706,2370,1336,59,60
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,4810,3228,1582,60,61
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,5350,3665,1685,61,62
msmarco-passage-trec-dl-2020,0,1109707,dibud,1,6104,4293,1811,62,63
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,2,1,1,0,1
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,38,19,19,1,2
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,51,26,25,2,3
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,173,87,86,3,4
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,177,89,88,4,5
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,201,101,100,5,6
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,285,143,142,6,7
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,293,147,146,7,8
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,299,150,149,8,9
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,305,153,152,9,10
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,377,189,188,10,11
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,381,191,190,11,12
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,395,198,197,12,13
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,414,207,207,13,14
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,432,216,216,14,15
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,458,229,229,15,16
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,480,240,240,16,21
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,508,254,254,21,22
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,586,293,293,22,23
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,738,369,369,23,24
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,876,438,438,24,25
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,918,459,459,25,26
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,936,468,468,26,28
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,1059,530,529,28,29
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,1393,697,696,29,32
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,1395,698,697,32,35
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,1499,750,749,35,36
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,1527,764,763,36,37
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,1651,826,825,37,38
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,2121,1061,1060,38,39
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,2277,1139,1138,39,40
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,2477,1239,1238,40,41
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,2519,1260,1259,41,57
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,2971,1486,1485,57,58
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,3707,1854,1853,58,59
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,4739,2370,2369,59,60
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,6455,3228,3227,60,61
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,7329,3665,3664,61,62
msmarco-passage-trec-dl-2020,0,1109707,balanced,1,8585,4293,4292,62,63
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,128,64,64,0,3
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,256,128,128,3,6
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,384,192,192,6,12
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,448,256,192,12,13
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,512,256,256,13,22
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,640,320,320,22,23
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,768,384,384,23,24
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,896,448,448,24,25
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,960,448,512,25,27
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,1024,512,512,27,28
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,1088,576,512,28,29
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,1216,704,512,29,34
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,1280,704,576,34,35
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,1344,768,576,35,37
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,1472,832,640,37,38
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,1856,1088,768,38,39
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,1920,1152,768,39,40
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,2112,1280,832,40,42
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,2368,1280,1088,42,45
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,2432,1280,1152,45,47
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,2496,1280,1216,47,57
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,2752,1536,1216,57,58
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,3072,1856,1216,58,59
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,3776,2432,1344,59,60
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,4864,3264,1600,60,61
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,5440,3712,1728,61,62
msmarco-passage-trec-dl-2020,0,1109707,dibud,64,6208,4352,1856,62,63
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,128,64,64,0,3
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,256,128,128,3,6
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,384,192,192,6,12
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,448,256,192,12,13
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,512,256,256,13,22
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,640,320,320,22,23
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,768,384,384,23,24
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,896,448,448,24,25
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,1024,512,512,25,28
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,1088,576,512,28,29
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,1344,704,640,29,35
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,1472,768,704,35,37
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,1600,832,768,37,38
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,2112,1088,1024,38,39
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,2240,1152,1088,39,40
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,2496,1280,1216,40,57
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,3008,1536,1472,57,58
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,3648,1856,1792,58,59
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,4800,2432,2368,59,60
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,6464,3264,3200,60,61
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,7360,3712,3648,61,62
msmarco-passage-trec-dl-2020,0,1109707,balanced,64,8640,4352,4288,62,63
msmarco-passage-trec-dl-2020,0,390360,dibud,1,8,4,4,0,1
msmarco-passage-trec-dl-2020,0,390360,dibud,1,13,6,7,1,3
msmarco-passage-trec-dl-2020,0,390360,dibud,1,15,8,7,3,4
msmarco-passage-trec-dl-2020,0,390360,dibud,1,24,12,12,4,5
msmarco-passage-trec-dl-2020,0,390360,dibud,1,66,33,33,5,6
msmarco-passage-trec-dl-2020,0,390360,dibud,1,178,89,89,6,7
msmarco-passage-trec-dl-2020,0,390360,dibud,1,214,107,107,7,8
msmarco-passage-trec-dl-2020,0,390360,dibud,1,283,142,141,8,9
msmarco-passage-trec-dl-2020,0,390360,dibud,1,328,158,170,9,10
msmarco-passage-trec-dl-2020,0,390360,dibud,1,576,218,358,10,11
msmarco-passage-trec-dl-2020,0,390360,dibud,1,869,299,570,11,12
msmarco-passage-trec-dl-2020,0,390360,dibud,1,900,306,594,12,13
msmarco-passage-trec-dl-2020,0,390360,dibud,1,1040,338,702,13,14
msmarco-passage-trec-dl-2020,0,390360,dibud,1,2575,536,2039,14,15
msmarco-passage-trec-dl-2020,0,390360,dibud,1,2810,771,2039,15,16
msmarco-passage-trec-dl-2020,0,390360,dibud,1,2916,877,2039,16,18
msmarco-passage-trec-dl-2020,0,390360,dibud,1,2978,939,2039,18,19
msmarco-passage-trec-dl-2020,0,390360,dibud,1,3734,1695,2039,19,20
msmarco-passage-trec-dl-2020,0,390360,dibud,1,4012,1973,2039,20,21
msmarco-passage-trec-dl-2020,0,390360,dibud,1,5539,2769,2770,21,22
msmarco-passage-trec-dl-2020,0,390360,dibud,1,5763,2993,2770,22,28
msmarco-passage-trec-dl-2020,0,390360,dibud,1,6624,3854,2770,28,29
msmarco-passage-trec-dl-2020,0,390360,balanced,1,8,4,4,0,1
msmarco-passage-trec-dl-2020,0,390360,balanced,1,14,7,7,1,3
msmarco-passage-trec-dl-2020,0,390360,balanced,1,15,8,7,3,4
msmarco-passage-trec-dl-2020,0,390360,balanced,1,24,12,12,4,5
msmarco-passage-trec-dl-2020,0,390360,balanced,1,66,33,33,5,6
msmarco-passage-trec-dl-2020,0,390360,balanced,1,178,89,89,6,7
msmarco-passage-trec-dl-2020,0,390360,balanced,1,214,107,107,7,8
msmarco-passage-trec-dl-2020,0,390360,balanced,1,283,142,141,8,9
msmarco-passage-trec-dl-2020,0,390360,balanced,1,340,170,170,9,10
msmarco-passage-trec-dl-2020,0,390360,balanced,1,716,358,358,10,11
msmarco-passage-trec-dl-2020,0,390360,balanced,1,1140,570,570,11,12
msmarco-passage-trec-dl-2020,0,390360,balanced,1,1188,594,594,12,13
msmarco-passage-trec-dl-2020,0,390360,balanced,1,1404,702,702,13,14
msmarco-passage-trec-dl-2020,0,390360,balanced,1,4078,2039,2039,14,21
msmarco-passage-trec-dl-2020,0,390360,balanced,1,5540,2770,2770,21,22
msmarco-passage-trec-dl-2020,0,390360,balanced,1,5985,2993,2992,22,28
msmarco-passage-trec-dl-2020,0,390360,balanced,1,7707,3854,3853,28,29
msmarco-passage-trec-dl-2020,0,390360,dibud,64,128,64,64,0,6
msmarco-passage-trec-dl-2020,0,390360,dibud,64,256,128,128,6,8
msmarco-passage-trec-dl-2020,0,390360,dibud,64,384,192,192,8,10
msmarco-passage-trec-dl-2020,0,390360,dibud,64,640,256,384,10,11
msmarco-passage-trec-dl-2020,0,390360,dibud,64,896,320,576,11,12
msmarco-passage-trec-dl-2020,0,390360,dibud,64,960,320,640,12,13
msmarco-passage-trec-dl-2020,0,390360,dibud,64,1088,384,704,13,14
msmarco-passage-trec-dl-2020,0,390360,dibud,64,2624,576,2048,14,15
msmarco-passage-trec-dl-2020,0,390360,dibud,64,2880,832,2048,15,16
msmarco-passage-trec-dl-2020,0,390360,dibud,64,2944,896,2048,16,18
msmarco-passage-trec-dl-2020,0,390360,dibud,64,3008,960,2048,18,19
msmarco-passage-trec-dl-2020,0,390360,dibud,64,3776,1728,2048,19,20
msmarco-passage-trec-dl-2020,0,390360,dibud,64,4032,1984,2048,20,21
msmarco-passage-trec-dl-2020,0,390360,dibud,64,5632,2816,2816,21,22
msmarco-passage-trec-dl-2020,0,390360,dibud,64,5824,3008,2816,22,28
msmarco-passage-trec-dl-2020,0,390360,dibud,64,6720,3904,2816,28,29
